sku,product_name,category,quantity,unit_price,sold_at
SKU-UMB-001,Compact Umbrella,Rain Gear,6,299,2026-05-03T07:07:00+00:00
SKU-UMB-001,Compact Umbrella,Rain Gear,1,299,2026-05-03T08:47:00+00:00
SKU-UMB-001,Compact Umbrella,Rain Gear,3,299,2026-05-03T09:15:00+00:00
SKU-UMB-001,Compact Umbrella,Rain Gear,2,299,2026-05-03T17:08:00+00:00
SKU-UMB-001,Compact Umbrella,Rain Gear,6,299,2026-05-03T18:06:00+00:00
SKU-BEV-001,Cold Beverage 500ml,Beverages,12,40,2026-05-03T10:47:00+00:00
SKU-BEV-001,Cold Beverage 500ml,Beverages,10,40,2026-05-03T11:05:00+00:00
SKU-BEV-001,Cold Beverage 500ml,Beverages,10,40,2026-05-03T12:27:00+00:00
SKU-BEV-001,Cold Beverage 500ml,Beverages,2,40,2026-05-03T13:01:00+00:00
SKU-BEV-001,Cold Beverage 500ml,Beverages,2,40,2026-05-03T14:13:00+00:00
SKU-BEV-001,Cold Beverage 500ml,Beverages,4,40,2026-05-03T15:32:00+00:00
SKU-BEV-001,Cold Beverage 500ml,Beverages,10,40,2026-05-03T16:01:00+00:00
SKU-BEV-001,Cold Beverage 500ml,Beverages,10,40,2026-05-03T17:12:00+00:00
SKU-BEV-001,Cold Beverage 500ml,Beverages,12,40,2026-05-03T18:41:00+00:00
SKU-BEV-001,Cold Beverage 500ml,Beverages,12,40,2026-05-03T19:34:00+00:00
SKU-BEV-001,Cold Beverage 500ml,Beverages,8,40,2026-05-03T20:14:00+00:00
SKU-BEV-002,Energy Drink 250ml,Beverages,8,55,2026-05-03T10:37:00+00:00
SKU-BEV-002,Energy Drink 250ml,Beverages,6,55,2026-05-03T11:51:00+00:00
SKU-BEV-002,Energy Drink 250ml,Beverages,2,55,2026-05-03T12:48:00+00:00
SKU-BEV-002,Energy Drink 250ml,Beverages,4,55,2026-05-03T13:44:00+00:00
SKU-BEV-002,Energy Drink 250ml,Beverages,8,55,2026-05-03T14:21:00+00:00
SKU-BEV-002,Energy Drink 250ml,Beverages,6,55,2026-05-03T15:09:00+00:00
SKU-BEV-002,Energy Drink 250ml,Beverages,4,55,2026-05-03T16:48:00+00:00
SKU-BEV-002,Energy Drink 250ml,Beverages,6,55,2026-05-03T17:06:00+00:00
SKU-BEV-002,Energy Drink 250ml,Beverages,2,55,2026-05-03T18:24:00+00:00
SKU-BEV-002,Energy Drink 250ml,Beverages,2,55,2026-05-03T19:22:00+00:00
SKU-BEV-002,Energy Drink 250ml,Beverages,6,55,2026-05-03T20:38:00+00:00
SKU-NOD-001,Instant Noodles Pack,Snacks,3,25,2026-05-03T11:51:00+00:00
SKU-NOD-001,Instant Noodles Pack,Snacks,1,25,2026-05-03T12:46:00+00:00
SKU-NOD-001,Instant Noodles Pack,Snacks,4,25,2026-05-03T13:34:00+00:00
SKU-NOD-001,Instant Noodles Pack,Snacks,1,25,2026-05-03T17:59:00+00:00
SKU-NOD-001,Instant Noodles Pack,Snacks,4,25,2026-05-03T18:05:00+00:00
SKU-NOD-001,Instant Noodles Pack,Snacks,5,25,2026-05-03T19:18:00+00:00
SKU-NOD-001,Instant Noodles Pack,Snacks,6,25,2026-05-03T20:39:00+00:00
SKU-NOD-001,Instant Noodles Pack,Snacks,3,25,2026-05-03T21:36:00+00:00
SKU-SNK-001,Potato Chips 50g,Snacks,2,20,2026-05-03T11:45:00+00:00
SKU-SNK-001,Potato Chips 50g,Snacks,1,20,2026-05-03T12:02:00+00:00
SKU-SNK-001,Potato Chips 50g,Snacks,6,20,2026-05-03T13:14:00+00:00
